Product.Category,Base,Method,Accuracy,Backtesting period,Parameter_1,Parameter_2,Parameter_3,Regressor_Method,Comment
GAMING NB,Mainstream_16_DISCRETE_INTEL,forecast_prophet_regressor,0.823946549,6,,,,Specific,
GAMING NB,Mainstream_17_DISCRETE_AMD,forecast_enhance_stl,0.96,6,25,5,0.5,,
GAMING NB,Mainstream_17_DISCRETE_INTEL,forecast_enhance_stl_regressor,0.94,12,25,1,0.01,Specific,
GAMING NB,Premium_15_DISCRETE_AMD,forecast_combined,0.6047,6,,,,,one fourth of 15 Dis intel
GAMING NB,Premium_15_DISCRETE_INTEL,forecast_combined,0.78,18,,,,,
ULT,Entry_14_UMA_AMD,forecast_prophet_regressor,0.9,6,,,,Specific,
ULT,Entry_14_UMA_INTEL,forecast_combined,0.91,12,,,,,
ULT,Entry_15_UMA_AMD,forecast_prophet_regressor,0.88,6,,,,Specific,
ULT,Entry_15_UMA_INTEL,forecast_auto_arima,0.81,12,,,,,
ULT,Halo_13_DISCRETE_INTEL,forecast_stl_regressor,0.872084964,12,,,,Specific,
ULT,Halo_13_UMA_INTEL,forecast_auto_arima,0.8319,12,,,,,
ULT,Halo_14_DISCRETE_INTEL,forecast_auto_arima,0.834947455,12,,,,,
ULT,Halo_14_UMA_INTEL,forecast_combined,0.732420501,12,,,,,
ULT,Halo_15_DISCRETE_INTEL,forecast_enhance_stl_regressor,0.91,12,5,25,0.5,Specific,
ULT,Halo_16_DISCRETE_INTEL,gen_to_gen_GR_extrapolate,0,0,11/1/2016,3,7,Halo_15_DISCRETE_INTEL,
ULT,Mainstream_13_DISCRETE_INTEL,forecast_auto_arima,0.85,12,,,,,
ULT,Mainstream_13_UMA_AMD,forecast_enhance_stl,0.937493141,12,23,1,1,,
ULT,Mainstream_13_UMA_INTEL,forecast_enhance_stl,0.8807,6,25,25,0.6,,
ULT,Mainstream_14_DISCRETE_INTEL,forecast_auto_arima,0.84,12,,,,,
ULT,Mainstream_14_UMA_AMD,forecast_auto_arima,0.8,12,,,,,
ULT,Mainstream_14_UMA_INTEL,forecast_stl,0.91,12,,,,,
ULT,Mainstream_15_DISCRETE_INTEL,forecast_prophet,0.693053208,12,,,,,
ULT,Mainstream_15_UMA_AMD,forecast_combined_box_cox,0.86,12,,,,,
ULT,Mainstream_15_UMA_INTEL,forecast_stl,0.866491692,12,,,,,
ULT,Premium_13_DISCRETE_INTEL,forecast_auto_arima,0.86,12,,,,,
ULT,Premium_13_UMA_AMD,forecast_prophet_regressor,0.81585578,6,,,,Specific,
ULT,Premium_13_UMA_INTEL,forecast_enhance_stl_regressor,0.86,12,25,1,0.2,Specific,
ULT,Premium_14_DISCRETE_INTEL,forecast_enhance_stl_regressor,0.9,12,5,11,0.4,Specific,
ULT,Premium_14_UMA_AMD,forecast_enhance_stl,0.798554852,6,1,11,0.6,,
ULT,Premium_14_UMA_INTEL,forecast_enhance_stl_regressor,0.84,12,13,7,0.5,Specific,
ULT,Premium_15_DISCRETE_INTEL,forecast_auto_arima,0.82,12,,,,,
ULT,Premium_15_UMA_AMD,forecast_enhance_stl,0.751020301,6,5,1,0.9,,
ULT,Premium_15_UMA_INTEL,forecast_combined_box_cox,0.877001794,6,,,,,
ULT,ULT_Total,forecast_enhance_stl_regressor,0.9,12,1,5,0.9,Specific,
TRA,TRA_Total,forecast_stl_box_cox,0.8648,12,,,,,
